Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Canada,CAN,1018480,1042100,1188947,1200361,1198381,1234528.61925597,1245743.61579713,1280198.18557714,1263297.33686341,1290419,1322033,1359442,1443818,1250460,1215983,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chad,TCD,..,..,..,..,..,699.531448355453,984,664,72,72,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chile,CHL,93003,94770,101008,108565,97473,108840,123739,125120,127631,124480,116532,116238,124316,134661,143964,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,China,CHN,1349269,1542564,1753550,1853088,2140124,2377789,2538667,2779741,3073450,3356756,3616026,3952098,4359033,4692008,4963752,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Colombia,COL,162095,175006,185872,187382,196298,226094,237570.829047845,254059.928996848,304365.908,349864.363,368947,366188,355039,358874,371985,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Dem. Rep.",COD,..,..,..,..,..,1945,2295,4781,11448,11580,12476,11513,18757,8271,7532,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Rep.",COG,..,..,..,..,..,3755.33363289149,4817,7011,12132,10380,11462,10604,8439,4976,4990.79,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Costa Rica,CRI,36045,36170,37284,36786,33285,41600.5549745151,43354,40081,42831,50239,41544,46405,48971,40014,44878,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cote d'Ivoire,CIV,..,..,..,..,..,5604,907,415,3912,4032,9068,9463,14884,14666,12890,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Croatia,HRV,22031,21641,22391,24728,24613,24766,26743,26456,24305,25161,25183,26171,26809,27189,27711,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cuba,CUB,11484,11533,11874,11686,10653,21235.4502809087,18302.8583708965,15869.7722047845,23292,15468,17592,20058,13144,8830,7140,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cyprus,CYP,17392,17530,19131,19399,18556,15318,12430,13296,11724,9000,306,2994,8698,5456,3326,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Czech Republic,CZE,75295,75439,75830,78377,78153,72137,61476,44189,54948,48975,38304,43878,50387,70828,44051,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominican Republic,DOM,..,..,..,..,..,1552,2286,2303,1908,1584,1421,1170,..,..,13796,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ecuador,ECU,29844,31016,44842,49162,46485,60835,49193,54250.9226188785,58687,61248,61649,55430,50837,53033,50575,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Egypt, Arab Rep.",EGY,44730,47444,51440,57510,56414,104036.125,78726.0909090909,92303,100735.5,101725.767440561,108206,115856,105464,105097,113055,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,El Salvador,SLV,23964,24879,22465,21056,19339,20961.2770874618,24699,26622,29114,31662,28671,28670,27995,27601,26305,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Equatorial Guinea,GNQ,..,..,..,..,..,717.170923379175,2808,8201,19416,14136,22350,22464,20590,7930,8114,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,539,714,919,1018,1111,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Estonia,EST,8350,8183,9214,11478,8592,12207.9705512659,13492,26778,13356,13524,13954,16179,528,1583,22,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,2224,2270,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ethiopia,ETH,30961,33644,37528,39804,44154,48783,57728,62136,68131,71166,83940,94330,99263,110971,119542,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Fiji,FJI,41886,46866,46359,46467,45595,26127,18142,16011.2858124356,11748,19140,19487,20906,21855,24134,25859,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Finland,FIN,107108,114699,118686,114371,104740,132408.28422807,144467,138914.132653061,138987,140256,153849,162119,118856,125804,131089,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,France,FRA,728081,805731,825471,827851,771675,738003.426442238,754292,739353.599757151,641440,610197,607168,599427,599256,597412,598374,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gabon,GAB,8505,8524,9057,5654,5423,7516.15985130111,3002,1553,0,..,2765,2305,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Gambia, The",GMB,..,..,..,..,..,0,0,140,1788,1848,35,440,625,1116,1136,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Georgia,GEO,4673,4861,5347,5487,5054,2803,3896,3326,2933,3317,3959,3199,5061,7108,7240,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Germany,DEU,1023858,1084821,1126699,1154472,1080553,971803.431596833,1021899.93850367,985668.769188173,954874,946082,967453,962803,955827,922648.643490196,896647.181,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ghana,GHA,..,..,..,..,..,5645.66956713294,10683,14902,16560,16764,20539,21628,21224,11635,15617,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greece,GRC,130515,133226,137697,128287,112671,136382.257932753,125477.119829729,111870,103800,134160,124014,128454,135281,144040,151848,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guam,GUM,..,..,..,12139,11470,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guatemala,GTM,..,..,..,..,..,8875,9148,8091,2556,2214,3012,3102,3577,3205,2623,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guyana,GUY,..,..,..,..,..,9351,12231,8625,0,0,..,..,..,1931,1578,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Honduras,HND,..,..,..,..,..,21574,18287,16760,26796,24216,24813,24315,9482,14832,16602,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Hong Kong SAR, China",HKG,122705,130014,141372,144039,149809,158255,173112,185506.37822568,199639,215562,228582,235581,243518,245146,242173,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Hungary,HUN,47362,45781,51003,49795,45861,111307,120826.212389811,88801.8316511268,103080,123708,145492,137605,158454,183541,213664,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iceland,ISL,11803,12785,14064,12431,12924,21668.3164735801,24488,26469,26643,28979,35558,41022,50389,54653.3025910987,35823,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,India,IND,330484,453921,569033,592292,601977,623196.778558652,695626,678125.937793064,689094,724541.12,787998,917625,1029426,1200111.363,1209803,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Indonesia,IDN,320724,357414,357789,345240,330112,520932.081983182,599692.276092406,641182.300723356,576000,675005.895378656,682389,823735,892801,959307.381,808265,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Iran, Islamic Rep.",IRN,121235,136075,137645,122226,133932,158014.183450955,161191.677604321,153142.822223706,161029,162563.374175832,133663,159754,225399.088,207096,186006,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iraq,IRQ,..,..,..,..,..,7692,9697,8993,4332,4332,12805,10579,18509.38,48355,30270,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ireland,IRL,303697,350204,416205,483741,528098,601262,635065,648817.651510641,641412,658512,718059,836293,883323,935913,967456,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Israel,ISR,34104,36257,47038,45309,47856,47829,47195,47073.827458256,46644,49177,49020,50548,50330,53901,47318,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Italy,ITA,445968,447749,431647,382590,382897,335280,328771.58001328,306320.503320053,258027,264899,273462,277671,243811,251621,260599,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jamaica,JAM,21787,21133,22401,22894,16840,0,0,0,492,953,997,1128,1181,1215.272,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Japan,JPN,651858,670252,656917,655495,641913,934487.439462563,812928,874677,915542.658,927666,956015,984320,1035522,999594,1018436,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jordan,JOR,19689,26546,29415,30804,32490,39318.7915976253,40329.1978021978,39468,38998,38386,36622,38161,36946,36127,36550,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kazakhstan,KAZ,17302,19160,19138,19229,18832,33483,40916,44580,66108,71220,72486,73188,83048,66693,70980,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kenya,KEN,28399,29039,32329,32045,33593,78265,84955,82576,98244,90625,96749,99428,117027,134354.484622134,138192,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,5005,5005,4388,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Dem. People's Rep.",PRK,1768,1839,1949,1986,1865,725,732,890,3576,498.340248962656,483,522,460,472,526,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Rep.",KOR,221424,223735,243113,250260,256160,280427,282239,285000,360356,368132,448037,473606,499093.92,527807,549454,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kuwait,KWT,19142,20673,17685,17999,18191,41848,31753,28814,27305,26610,30073,33387,42782,46450,50959,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kyrgyz Republic,KGZ,5228,4730,4916,3567,5459,7371,9274,7719,12189,17388,20962,23120,27055,8751,6537,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lao PDR,LAO,9002,9959,9957,10007,9793,11374,12262,15836.1286311187,16944,12732,9772,9986,9731,16299,16359,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Latvia,LVA,23112,29067,28182,28915,27123,54589,54241,46732,43836,42107,41376,42392,47885,54356,61692,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lebanon,LBN,12013,11274,12172,12306,13532,19882,21306,21880,23568,23580,24066,24549,25550,25740,26942,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Libya,LBY,13335,12657,13477,9930,9812,34878.0771737788,27770.5020633663,16514.4315772057,32064,26414,13298,10764,9686,12340,11339,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lithuania,LTU,11930,11059,10823,12238,11633,4972.63491038269,7122,11874,9900,12622,12199,9719,12151,2375,2519,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Luxembourg,LUX,42304,43777,47209,47639,51932,38716,38937,43021,44059,47215,48569,48255,48289,51824,51938,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Macao SAR, China",MAC,23572,25154,25016,19009,14258,13411,14368,15890,17859,20158,21472,23574,22924,24411,28685,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Madagascar,MDG,17911,14142,37310,11861,9566,11714,12332.7272727273,13267,9451,10385,8852,7230,7650,10170,10600,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malawi,MWI,5446,5528,5888,4416,4376,3340.39012345679,3172,3201.16692164608,1644,1644,1687,1818,2327,2327,1354,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malaysia,MYS,176152,163665,185052,176549,182002,302185.222466875,336401,343382,430334.457756879,443318.55,463740,447001,473610.67,474940,498878,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Maldives,MDV,4520,5108,5006,5006,4971,..,..,..,..,26849,31472,33006,33904,26678,27199,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mali,MLI,..,..,..,..,..,4656,5580,2753,360,0,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malta,MLT,14768,15359,16895,17334,18362,16828,14891,13845,14257,14022,13639,12305,12799,20903,19412,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Marshall Islands,MHL,3083,3573,3508,3510,3480,..,..,..,..,..,..,..,2218,2244,1967,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritania,MRT,1720,1725,1833,1159,1114,6373,4235,3077,3984,4044,4277,4307,5331,4910,5566,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritius,MUS,14743,13692,12090,11742,11144,11750,12353,12258,12079,12131,12646,13614,14842,14940,14937,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mexico,MEX,331225,317856,309633,266244,222356,445796.033023162,386063.994109534,415279.822989187,435792.09,457921.907,508614,555984,567921,583408,605632,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Moldova,MDA,4392,4248,4654,4933,5047,6571,7147,6560,7500,8400,8739,9625,14116,13590,11899,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Monaco,MCO,12249,14092,15170,13071,10351,10067,10603,11034.5454545454,10956,10928.727,10728,611,3,3,3,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mongolia,MNG,5332,6169,6158,5592,4783,6528,7194.25844122874,9611.02826134262,4212,5705.56146973701,5219,6009,5277,7777,8310,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Montenegro,MNE,5560,..,..,..,..,10064.0086862106,7707,7485,7164,6492,6864,6842,6436,6887,7192,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Morocco,MAR,48651,55239,68847,61298,62037,75306,69940.912476723,61161.3007019091,68700,72345,75044,80085,86735,80154,91254,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mozambique,MOZ,9768,10490,10791,10943,11260,13705,12957,13263.2514684884,19596,19763.5996807786,18924,15911,11955,10479,12178,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Myanmar,MMR,26460,28700,29235,29514,28499,20485,32354,37798.8298164773,38028,49599,51652,65643,62480,64397.9644896858,64320,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Namibia,NAM,6455,6513,6942,5450,5439,8836,9400,11711,8568,9197,10606,11759,13876,14543,1806,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nauru,NRU,..,..,..,..,1998,342,399,116,96,612,707,862,842,1023,1351,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nepal,NPL,6255,6920,6918,6952,6804,45990,44126,34745,30612,19560,19395,24063,58880,97598,27035,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Netherlands,NLD,241084,250811,259827,262848,291713,268542.005768021,293885.839797724,307221,312910,304795,309089,334240,342097,330963.296,361156,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,New Zealand,NZL,209469,220990,219243,220375,217178,207872,206937,203388,203520,189722,186209,181125,184762,187851,192514,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Niger,NER,..,..,..,..,..,0,0,1416,1044,407,469,471,471,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nigeria,NGA,10227,16045,16936,18005,16851,61789,68014.2763449768,65631.5070737067,59182,61512.4529493388,61474,53971,53696,75594.726523888,68830,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,North Macedonia,MKD,2277,2368,2605,2813,1389,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Oman,OMN,..,..,..,..,25542,32850,35560,39638,46816,47126,56544,61956,71293,76672,79436,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Pakistan,PAK,48905,51296,51029,52165,50939,64932,72695,72232,61820,57956,65749,70005,51019,48542,49749,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Panama,PAN,30392,33003,40645,46292,66236,73316.7503951154,79391,82753,135428,132689.724774874,137955,143126,112742,111583,110042,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Papua New Guinea,PNG,19606,21935,21700,21751,21450,32741,36364.3197806363,37309.857693979,30012,34068,51680,48892,53696,41173,54328,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Paraguay,PRY,10059,9807,10351,10522,9758,6459,6873.73284970825,6594,6408,5496,4116,3864,3454,10160,8090,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Peru,PER,60819,56072,61958,67840,65885,84408.1153236815,100131,106167,115817.396352206,117800,129786,129880,130792,141025.363,141311,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Philippines,PHL,58944,61712,65212,72333,87028,205318,225789.683645565,241698.559028508,200532,287460,325859,345482,273159,292450,320569,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Poland,POL,78992,83451,89289,90031,83053,82630,82052,81194,83336,77094,68326,84075,106424,123903,131419,..
